Date,USDEUR,USDGBP,GBPEUR
21/02/2020,-0.00584038,-0.006073547,8.36995E-05
24/02/2020,-0.000651042,0.002718272,-0.003437438
25/02/2020,-0.002499594,-0.005963975,0.003772166
26/02/2020,0.000108808,0.007901084,-0.007811555
27/02/2020,-0.011049836,0.001289325,-0.012217001
28/02/2020,-0.002312904,0.005140739,-0.007626103
2/03/2020,-0.00963943,0.005114447,-0.014817653
3/03/2020,-0.003457317,-0.004601823,0.000959819
4/03/2020,0.003345977,-0.004751823,0.007991703
5/03/2020,-0.009059958,-0.006198367,-0.002598979
6/03/2020,-0.004278804,-0.007410812,0.003031486
9/03/2020,-0.014434529,-0.00536475,-0.008424211
10/03/2020,0.014660186,0.016137779,-0.001920559
11/03/2020,0.001014828,0.006818939,-0.005783909
12/03/2020,0.007634482,0.020056524,-0.012380774
13/03/2020,0.007021483,0.023474965,-0.016237181
16/03/2020,-0.006686007,0.000368211,-0.007717138
17/03/2020,0.01652197,0.017757703,-0.001003055
18/03/2020,0.007341292,0.036574288,-0.029441119
19/03/2020,0.020850969,0.011785232,0.009351981
20/03/2020,-0.000427762,-0.012715464,0.012947559
23/03/2020,-0.00257042,0.007533211,-0.011459325
24/03/2020,-0.005915586,-0.018528759,0.013570483
25/03/2020,-0.008776263,-0.01004796,0.000824893
26/03/2020,-0.013696593,-0.027095402,0.013648984
27/03/2020,-0.009310641,-0.020098081,0.010518369
30/03/2020,0.008096312,0.002860521,0.004906562
31/03/2020,0.001214329,0.000496648,0.001511716
1/04/2020,0.006378555,0.003717016,0.002662172
2/04/2020,0.009600772,-0.002352505,0.01171768
3/04/2020,0.005630158,0.01048163,-0.004829019
6/04/2020,0.000323852,0.002939738,-0.00255563
7/04/2020,-0.009107729,-0.008228477,-0.000971088
8/04/2020,0.003370851,-0.004325534,0.00730412
9/04/2020,-0.006753103,-0.006211972,-0.0004385
10/04/2020,-0.000655953,0.000872003,0.000175423
13/04/2020,0.002512152,-0.004117543,0.005073933
